"list-view-price","celly","celly 2","celly 3","celly 4","list-view-location"
"28.000","2 +
                          1","85 m²","4
                        Yaşında","2. Kat","İzmir / Karşıyaka / Şemikler Mah."
"26.000","2 +
                          1","85 m²","4
                        Yaşında","2. Kat","İzmir / Seferihisar / Hıdırlık Mah."
"45.000","2 +
                          1","84 m²","1
                        Yaşında","4. Kat","İzmir / Bayraklı / Mansuroğlu Mah."
"29.000","2 +
                          1","115 m²","5
                        Yaşında","2. Kat","İzmir / Tire / Fatih Mah."
"45.000","3 +
                          1","130 m²","31
                        Yaşında","3. Kat","İzmir / Karşıyaka / Yalı Mah."
"19.500","2 +
                          1","85 m²","2
                        Yaşında","4. Kat","İzmir / Torbalı / Türkmenköy Mah."
"37.000","2 +
                          1","90 m²","3
                        Yaşında","5. Kat","İzmir / Çiğli / Balatçık Mah."
"43.000","3 +
                          1","150 m²","34
                        Yaşında","4. Kat","İzmir / Karşıyaka / Bostanlı Mah."
"18.000","3 +
                          1","145 m²","16
                        Yaşında","5. Kat","İzmir / Torbalı / Muratbey Mah."
"25.000","3 +
                          1","130 m²","25
                        Yaşında","2. Kat","İzmir / Menemen / 30 Ağustos Mah."
"25.000","1 +
                          1","45 m²","1
                        Yaşında","Bahçe Katı","İzmir / Çeşme / Ovacık Mah."
"40.000","3 +
                          1","250 m²","9
                        Yaşında","3. Kat","İzmir / Seferihisar / Turabiye Mah."
"33.000","3 +
                          1","125 m²","16
                        Yaşında","1. Kat","İzmir / Bornova / Kızılay Mah."
"20.000","2 +
                          1","95 m²","6
                        Yaşında","4. Kat","İzmir / Buca / İnönü Mah."
"40.000","3 +
                          1","120 m²","10
                        Yaşında","2. Kat","İzmir / Karşıyaka / Şemikler Mah."
"25.000","3 +
                          1","110 m²","34
                        Yaşında","1. Kat","İzmir / Karabağlar / Vatan Mah."
"25.000","3 +
                          1","125 m²","35
                        Yaşında","5. Kat","İzmir / Çiğli / Egekent Mah."
"60.000","4 +
                          2","150 m²","20
                        Yaşında","","İzmir / Çiğli / Ahmet Taner Kışlalı Mah."
"23.500","3 +
                          1","148 m²","4
                        Yaşında","2. Kat","İzmir / Torbalı / Alpkent Mah."
"30.000","3 +
                          1","125 m²","20
                        Yaşında","6. Kat","İzmir / Bayraklı / Tepekule Mah."
"35.000","2 +
                          1","75 m²","Sıfır Bina","Bahçe Katı","İzmir / Aliağa / Yalı Mah."
"28.000","2 +
                          1","105 m²","22
                        Yaşında","Ara Kat","İzmir / Torbalı / Muratbey Mah."
"21.900","1 +
                          1","50 m²","Sıfır Bina","7. Kat","İzmir / Çiğli / Balatçık Mah."
"70.000","2 +
                          1","100 m²","44
                        Yaşında","Yüksek Giriş","İzmir / Urla / İskele Mah."
"24.000","2 +
                          1","85 m²","7
                        Yaşında","3. Kat","İzmir / Buca / İnkılap Mah."
