"list-view-price","celly","celly 2","celly 3","celly 4","list-view-location"
"18.900","4 +
                          1","180 m²","35
                        at Age","3. Floor","Manisa / Turgutlu / Yılmazlar Mah."
"18.000","2 +
                          1","85 m²","8
                        at Age","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"30.000","3 +
                          1","120 m²","28
                        at Age","1. Floor","Manisa / Şehzadeler / Utku Mah."
"29.000","3 +
                          1","135 m²","5
                        at Age","2. Floor","Manisa / Şehzadeler / Yarhasanlar Mah."
"57.000","3 +
                          1","165 m²","6
                        at Age","9. Floor","Manisa / Yunusemre / Güzelyurt Mah."
"20.000","3 +
                          1","140 m²","30
                        at Age","2. Floor","Manisa / Salihli / Kurtuluş Mah."
"21.000","3 +
                          1","140 m²","20
                        at Age","4. Floor","Manisa / Salihli / Cumhuriyet Mah."
"15.000","1 +
                          1","45 m²","1
                        at Age","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"16.000","2 +
                          1","100 m²","25
                        at Age","3. Floor","Manisa / Salihli / Cumhuriyet Mah."
"18.000","1 +
                          1","49 m²","New Property","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"40.000","2 +
                          1","170 m²","7
                        at Age","Middle Floor","Manisa / Turgutlu / Ergenekon Mah."
"21.000","2 +
                          1","105 m²","11
                        at Age","Raised Ground Floor","Manisa / Yunusemre / Mutlu Mah."
"20.000","1 +
                          1","50 m²","7
                        at Age","2. Floor","Manisa / Salihli / Namık Kemal Mah."
"18.000","2 +
                          1","110 m²","New Property","2. Floor","Manisa / Akhisar / Seyit Ahmet Mah."
"32.000","3 +
                          1","130 m²","25
                        at Age","2. Floor","Manisa / Yunusemre / 75. Yıl Mah."
"12.000","2 +
                          1","100 m²","25
                        at Age","4. Floor","Manisa / Salihli / Cumhuriyet Mah."
"18.000","2 +
                          1","80 m²","New Property","2. Floor","Manisa / Akhisar / Reşat Bey Mah."
"18.500","2 +
                          1","85 m²","8
                        at Age","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"20.000","3 +
                          1","110 m²","14
                        at Age","Raised Ground Floor","Manisa / Yunusemre / Muradiye Mah."
"23.000","2 +
                          1","85 m²","6
                        at Age","6. Floor","Manisa / Yunusemre / Topçuasım Mah."
"25.000","3 +
                          1","125 m²","11
                        at Age","1. Floor","Manisa / Şehzadeler / Kuşlubahçe Mah."
"16.000","3 +
                          1","118 m²","New Property","Raised Ground Floor","Manisa / Yunusemre / Akgedik Mah."
"24.000","3 +
                          1","140 m²","6
                        at Age","2. Floor","Manisa / Akhisar / Hacı İshak Mah."
"24.000","4 +
                          1","160 m²","4
                        at Age","Top Floor","Manisa / Yunusemre / Muradiye Mah."
"28.000","3 +
                          1","125 m²","22
                        at Age","3. Floor","Manisa / Şehzadeler / Peker Mah."
"27.500","1 +
                          1","60 m²","New Property","Garden Floor","Manisa / Yunusemre / Muradiye Mah."
"20.000","3 +
                          1","125 m²","21
                        at Age","3. Floor","Manisa / Turgutlu / Altay Mah."
"35.000","3 +
                          1","145 m²","8
                        at Age","Top Floor","Manisa / Turgutlu / Ergenekon Mah."
"13.500","1 +
                          1","60 m²","1
                        at Age","Middle Floor","Manisa / Saruhanlı / Cengiz Topel Mah."
"20.000","1 +
                          1","50 m²","7
                        at Age","3. Floor","Manisa / Salihli / Namık Kemal Mah."
"20.000","2 +
                          10","105 m²","2
                        at Age","3. Floor","Manisa / Yunusemre / 50. Yıl Mah."
"47.000","2 +
                          1","67 m²","3
                        at Age","7. Floor","Manisa / Yunusemre / Uncubozköy Mah."
"25.000","3 +
                          1","125 m²","25
                        at Age","2. Floor","Manisa / Yunusemre / Tevfikiye Mah."
"25.000","3 +
                          1","135 m²","11
                        at Age","3. Floor","Manisa / Turgutlu / Ergenekon Mah."
"24.000","3 +
                          1","145 m²","11
                        at Age","4. Floor","Manisa / Akhisar / Hürriyet Mah."
"20.000","1 +
                          1","60 m²","New Property","4. Floor","Manisa / Yunusemre / Muradiye Mah."
"16.000","2 +
                          1","72 m²","5
                        at Age","3. Floor","Manisa / Yunusemre / Atatürk Mah."
"19.000","2 +
                          1","80 m²","New Property","Raised Ground Floor","Manisa / Yunusemre / Muradiye Mah."
"15.000","2 +
                          1","95 m²","25
                        at Age","Top Floor","Manisa / Turgutlu / Yedi Eylül Mah."
"25.000","1 +
                          1","145 m²","16
                        at Age","5. Floor","Manisa / Yunusemre / Uncubozköy Mah."
"16.500","1 +
                          1","50 m²","8
                        at Age","4. Floor","Manisa / Yunusemre / Muradiye Mah."
"27.000","3 +
                          1","125 m²","26
                        at Age","3. Floor","Manisa / Şehzadeler / Dinçer Mah."
"25.000","3 +
                          1","165 m²","26
                        at Age","1. Floor","Manisa / Şehzadeler / Sakarya Mah."
"60.000","3 +
                          1","130 m²","6
                        at Age","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"26.000","2 +
                          1","85 m²","6
                        at Age","Garden Floor","Manisa / Yunusemre / Karaali Mah."
"20.000","3 +
                          1","125 m²","16
                        at Age","3. Floor","Manisa / Turgutlu / Subaşı Mah."
"20.000","3 +
                          0","128 m²","4
                        at Age","2. Floor","Manisa / Akhisar / İnönü Mah."
"16.900","4 +
                          1","180 m²","32
                        at Age","4. Floor","Manisa / Turgutlu / Yılmazlar Mah."
"28.000","3 +
                          1","145 m²","18
                        at Age","5. Floor","Manisa / Salihli / Yörük Mah."
"15.000","1 +
                          1","55 m²","New Property","3. Floor","Manisa / Akhisar / Efendi Mah."
"15.000","2 +
                          1","80 m²","1
                        at Age","Middle Floor","Manisa / Saruhanlı / İstasyon Mah."
"22.000","1 +
                          1","65 m²","6
                        at Age","1. Floor","Manisa / Yunusemre / Muradiye Mah."
"25.000","2 +
                          0","105 m²","2
                        at Age","Middle Floor","Manisa / Turgutlu / Selvilitepe Mah."
"17.000","3 +
                          1","140 m²","40
                        at Age","2. Floor","Manisa / Turgutlu / Yıldırım Mah."
"25.000","3 +
                          1","135 m²","New Property","4. Floor","Manisa / Saruhanlı / İstasyon Mah."
"20.000","2 +
                          1","70 m²","New Property","4. Floor","Manisa / Yunusemre / Muradiye Mah."
"30.000","2 +
                          1","110 m²","9
                        at Age","Raised Ground Floor","Manisa / Turgutlu / Ergenekon Mah."
"16.000","2 +
                          1","110 m²","11
                        at Age","2. Floor","Manisa / Akhisar / Hacı İshak Mah."
"19.000","3 +
                          1","105 m²","20
                        at Age","2. Floor","Manisa / Akhisar / Hürriyet Mah."
"25.000","3 +
                          1","165 m²","6
                        at Age","5. Floor","Manisa / Turgutlu / Ergenekon Mah."
"21.000","1 +
                          1","45 m²","5
                        at Age","Middle Floor","Manisa / Turgutlu / Yeni Mah."
"23.000","1 +
                          1","60 m²","New Property","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"26.000","1 +
                          1","45 m²","3
                        at Age","14. Floor","Manisa / Yunusemre / Uncubozköy Mah."
"21.000","2 +
                          1","110 m²","30
                        at Age","2. Floor","Manisa / Yunusemre / Kuyualan Mah."
"26.500","3 +
                          1","160 m²","30
                        at Age","3. Floor","Manisa / Şehzadeler / Kuşlubahçe Mah."
"24.000","2 +
                          1","65 m²","New Property","Top Floor","Manisa / Şehzadeler / Yarhasanlar Mah."
"18.000","3 +
                          1","120 m²","30
                        at Age","5. Floor","Manisa / Yunusemre / Yeni Mahalle Mah."
"25.000","2 +
                          1","90 m²","New Property","2. Floor","Manisa / Salihli / Namık Kemal Mah."
"18.000","2 +
                          1","110 m²","New Property","2. Floor","Manisa / Akhisar / Cumhuriyet Mah."
"12.500","2 +
                          1","100 m²","30
                        at Age","2. Floor","Manisa / Akhisar / Atatürk Mah."
"26.500","3 +
                          1","160 m²","6
                        at Age","1. Floor","Manisa / Turgutlu / Yılmazlar Mah."
"17.500","2 +
                          1","90 m²","6
                        at Age","3. Floor","Manisa / Yunusemre / Yeni Mahalle Mah."
