city,district,neighborhood,room,living_room,area_mSqr,building_age,floor,list-view-price
İzmir , Karşıyaka , Şemikler Mah.,2,1,85 ,4                        ,2,28000
İzmir , Seferihisar , Hıdırlık Mah.,2,1,85 ,4                        ,2,26000
İzmir , Bayraklı , Mansuroğlu Mah.,2,1,84 ,1                        ,4,45000
İzmir , Tire , Fatih Mah.,2,1,115 ,5                        ,2,29000
İzmir , Karşıyaka , Yalı Mah.,3,1,130 ,31                        ,3,45000
İzmir , Torbalı , Türkmenköy Mah.,2,1,85 ,2                        ,4,19500
İzmir , Çiğli , Balatçık Mah.,2,1,90 ,3                        ,5,37000
İzmir , Karşıyaka , Bostanlı Mah.,3,1,150 ,34                        ,4,43000
İzmir , Torbalı , Muratbey Mah.,3,1,145 ,16                        ,5,18000
İzmir , Menemen , 30 Ağustos Mah.,3,1,130 ,25                        ,2,25000
İzmir , Çeşme , Ovacık Mah.,1,1,45 ,1                        ,0,25000
İzmir , Seferihisar , Turabiye Mah.,3,1,250 ,9                        ,3,40000
İzmir , Bornova , Kızılay Mah.,3,1,125 ,16                        ,1,33000
İzmir , Buca , İnönü Mah.,2,1,95 ,6                        ,4,20000
İzmir , Karşıyaka , Şemikler Mah.,3,1,120 ,10                        ,2,40000
İzmir , Karabağlar , Vatan Mah.,3,1,110 ,34                        ,1,25000
İzmir , Çiğli , Egekent Mah.,3,1,125 ,35                        ,5,25000
İzmir , Çiğli , Ahmet Taner Kışlalı Mah.,4,2,150 ,20                        ,,60000
İzmir , Torbalı , Alpkent Mah.,3,1,148 ,4                        ,2,23500
İzmir , Bayraklı , Tepekule Mah.,3,1,125 ,20                        ,6,30000
İzmir , Aliağa , Yalı Mah.,2,1,75 ,0,0,35000
İzmir , Torbalı , Muratbey Mah.,2,1,105 ,22                        ,3,28000
İzmir , Çiğli , Balatçık Mah.,1,1,50 ,0,7,21900
İzmir , Urla , İskele Mah.,2,1,100 ,44                        ,0,70000
İzmir , Buca , İnkılap Mah.,2,1,85 ,7                        ,3,24000
İzmir , Buca , Adatepe Mah.,3,1,135 ,20                        ,0,24000
İzmir , Gaziemir , Irmak Mah.,3,1,128 ,7                        ,3,47000
İzmir , Menderes , Gümüldür Fevzi Çakmak Mah.,3,1,130 ,21                        ,0,40000
İzmir , Karşıyaka , Örnekköy Mah.,2,1,90 ,26                        ,2,20000
İzmir , Bayraklı , Manavkuyu Mah.,2,1,75 ,0,10,37000
İzmir , Karşıyaka , İmbatlı Mah.,2,1,85 ,0,3,32500
İzmir , Gaziemir , Atıfbey Mah.,3,1,125 ,11                        ,1,35000
İzmir , Menemen , Gazi Mustafa Kemal Mah.,1,1,45 ,0,1,14000
İzmir , Çiğli , Atatürk Mah.,2,1,85 ,0,4,23000
